Experiment with 50 clients:
[0] throughput: 1202.051330, latency: 65.014504
[1] throughput: 1213.736891, latency: 66.041004
[2] throughput: 1196.186367, latency: 65.902706
[3] throughput: 1251.956936, latency: 65.035335
[4] throughput: 1179.532388, latency: 65.466385
[5] throughput: 1246.285402, latency: 63.955723
[6] throughput: 1163.144387, latency: 67.018486
[7] throughput: 1209.561762, latency: 64.972344
[8] throughput: 1252.642751, latency: 63.702273
[9] throughput: 1163.195572, latency: 64.911618
[10] throughput: 1176.689850, latency: 66.560245
[11] throughput: 1228.194649, latency: 66.513683
[12] throughput: 1263.761248, latency: 64.133783
[13] throughput: 1210.455976, latency: 66.035284
[14] throughput: 1168.567311, latency: 64.691090
[15] throughput: 1189.825484, latency: 63.164041
[16] throughput: 1200.384013, latency: 66.771132
[17] throughput: 1246.371285, latency: 64.911856
[18] throughput: 1203.458135, latency: 66.331677
[19] throughput: 1227.907994, latency: 64.426551
[20] throughput: 1163.973513, latency: 64.690316
[21] throughput: 1248.846285, latency: 65.735597
[22] throughput: 1202.168922, latency: 63.584489
[23] throughput: 1192.591654, latency: 65.943425
[24] throughput: 1197.194459, latency: 66.903487
[25] throughput: 1284.218919, latency: 65.095594
[26] throughput: 1184.205978, latency: 66.584976
[27] throughput: 1198.914595, latency: 64.270984
[28] throughput: 1135.175253, latency: 66.579365
[29] throughput: 1193.993360, latency: 66.560002
[30] throughput: 1220.931969, latency: 63.628265
[31] throughput: 1141.254262, latency: 65.900965
[32] throughput: 1162.239609, latency: 67.237705
[33] throughput: 1229.867702, latency: 64.840087
[34] throughput: 1185.448259, latency: 64.911701
[35] throughput: 1302.115611, latency: 64.530562
[36] throughput: 1184.933000, latency: 67.276348
[37] throughput: 1172.966828, latency: 65.975586
[38] throughput: 1170.635466, latency: 65.400741
[39] throughput: 1211.701215, latency: 65.891731
[40] throughput: 1280.806863, latency: 64.674654
[41] throughput: 1128.230043, latency: 66.046194
[42] throughput: 1112.669787, latency: 65.689134
[43] throughput: 1175.735891, latency: 66.353953
[44] throughput: 1199.871144, latency: 64.371409
[45] throughput: 1164.735492, latency: 64.532599
[46] throughput: 1221.898741, latency: 66.094541
[47] throughput: 1198.142784, latency: 63.890821
[48] throughput: 1269.675593, latency: 63.880078
[49] throughput: 1103.414309, latency: 66.945604
Total throughput: 60032.467237
Average latency: 65.39161266
