Experiment with 50 clients:
[0] throughput: 1157.951433, latency: 61.896162
[1] throughput: 1162.555312, latency: 62.170353
[2] throughput: 1175.691516, latency: 64.332801
[3] throughput: 1181.017607, latency: 62.065360
[4] throughput: 1156.459889, latency: 63.954114
[5] throughput: 1238.851660, latency: 61.970616
[6] throughput: 1208.940401, latency: 63.187917
[7] throughput: 1144.855013, latency: 64.734815
[8] throughput: 1143.185736, latency: 63.164630
[9] throughput: 1158.843739, latency: 64.290222
[10] throughput: 1229.200165, latency: 64.048301
[11] throughput: 1256.952237, latency: 63.797853
[12] throughput: 1146.317690, latency: 63.298153
[13] throughput: 1226.134714, latency: 61.249321
[14] throughput: 1130.937103, latency: 64.493821
[15] throughput: 1288.511629, latency: 62.605444
[16] throughput: 1211.090077, latency: 63.461503
[17] throughput: 1245.468676, latency: 61.798253
[18] throughput: 1141.120535, latency: 62.968545
[19] throughput: 1219.417285, latency: 63.839735
[20] throughput: 1222.862017, latency: 64.089387
[21] throughput: 1157.623852, latency: 64.526773
[22] throughput: 1173.040609, latency: 61.544178
[23] throughput: 1202.716998, latency: 63.336018
[24] throughput: 1170.250179, latency: 65.292858
[25] throughput: 1177.609046, latency: 63.929777
[26] throughput: 1182.045657, latency: 65.050759
[27] throughput: 1133.332734, latency: 66.339312
[28] throughput: 1140.945186, latency: 62.347231
[29] throughput: 1225.848606, latency: 62.231634
[30] throughput: 1313.374293, latency: 59.776234
[31] throughput: 1194.752768, latency: 61.754876
[32] throughput: 1230.995121, latency: 62.002783
[33] throughput: 1329.975453, latency: 60.497481
[34] throughput: 1241.418738, latency: 61.764441
[35] throughput: 1116.596735, latency: 64.269694
[36] throughput: 1187.838755, latency: 61.343072
[37] throughput: 1268.490379, latency: 61.692780
[38] throughput: 1098.367794, latency: 66.210830
[39] throughput: 1141.791751, latency: 65.202243
[40] throughput: 1232.279812, latency: 63.953481
[41] throughput: 1208.375953, latency: 62.576411
[42] throughput: 1128.185436, latency: 60.425944
[43] throughput: 1064.586321, latency: 65.925606
[44] throughput: 1207.508198, latency: 63.342314
[45] throughput: 1256.571251, latency: 60.221015
[46] throughput: 1348.141707, latency: 52.930740
[47] throughput: 1194.796670, latency: 64.151038
[48] throughput: 1244.640233, latency: 60.645468
[49] throughput: 1111.705556, latency: 65.067176
Total throughput: 59730.170225
Average latency: 62.91538946
